lieu,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
"5 rue de la Huchette, 75005 Paris",48.852799,2.3463,5 Rue de la Huchette 75005 Paris,0.9703172727272728,,housenumber,75105_4678_00005,5,5 Rue de la Huchette,Rue de la Huchette,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"172 bd Vincent Auriol, 75013 Paris",48.831781,2.357903,172 Boulevard Vincent Auriol 75013 Paris,0.7795609090909091,0.6522790082644627,housenumber,75113_9853_00172,172,172 Boulevard Vincent Auriol,Boulevard Vincent Auriol,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
"5 rue de la Huchette, 75005 Paris",48.852799,2.3463,5 Rue de la Huchette 75005 Paris,0.9703172727272728,,housenumber,75105_4678_00005,5,5 Rue de la Huchette,Rue de la Huchette,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"19 Rue Saint-Louis en l'Île, 75004 Paris",48.851202,2.358167,19 Rue Saint-Louis en l'Ile 75004 Paris,0.9713163636363636,0.5387579679144384,housenumber,75104_8678_00019,19,19 Rue Saint-Louis en l'Ile,Rue Saint-Louis en l'Ile,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"19 Rue Saint-Louis en l'Île, 75004 Paris",48.851202,2.358167,19 Rue Saint-Louis en l'Ile 75004 Paris,0.9713163636363636,0.5387579679144384,housenumber,75104_8678_00019,19,19 Rue Saint-Louis en l'Ile,Rue Saint-Louis en l'Ile,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"17 rue des Carmes, 75005 Paris",48.848424,2.347335,17 Rue des Carmes 75005 Paris,0.9692099999999999,0.7221073796791443,housenumber,75105_1554_00017,17,17 Rue des Carmes,Rue des Carmes,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"17 rue du collège d'Annecy, 84000 Avignon",43.945936,4.804699,17 Rue du Collége d'Annecy 84000 Avignon,0.9691181818181818,,housenumber,84007_1410_00017,17,17 Rue du Collége d'Annecy,Rue du Collége d'Annecy,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
"23 rue des Trois Rois, 13006 Marseille",43.293745,5.385054,23 Rue des trois rois 13006 Marseille,0.968880909090909,,housenumber,13206_9209_00023,23,23 Rue des trois rois,Rue des trois rois,13006,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13206,,,Marseille 6e Arrondissement,ok
"29 bis Avenue Jean Jaurès, 91560 Crosne",48.715515,2.459017,29bis Avenue Jean Jaurès 91560 Crosne,0.895346937799043,,housenumber,91191_1030_00029_bis,29bis,29bis Avenue Jean Jaurès,Avenue Jean Jaurès,91560,Crosne,"91, Essonne, Île-de-France",91191,,,,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"29 bis Avenue Jean Jaurès, 91560 Crosne",48.715515,2.459017,29bis Avenue Jean Jaurès 91560 Crosne,0.895346937799043,,housenumber,91191_1030_00029_bis,29bis,29bis Avenue Jean Jaurès,Avenue Jean Jaurès,91560,Crosne,"91, Essonne, Île-de-France",91191,,,,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"2-4 rue Philisbourg, 91800 Brunoy",48.69795,2.506249,4 Rue Philisbourg 91800 Brunoy,0.903848064516129,,housenumber,91114_3000_00004,4,4 Rue Philisbourg,Rue Philisbourg,91800,Brunoy,"91, Essonne, Île-de-France",91114,,,,ok
"19 Rue Saint-Louis en l'Île, 75004 Paris",48.851202,2.358167,19 Rue Saint-Louis en l'Ile 75004 Paris,0.9713163636363636,0.5387579679144384,housenumber,75104_8678_00019,19,19 Rue Saint-Louis en l'Ile,Rue Saint-Louis en l'Ile,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"rue de Rocheau place des arts 91860, 91860 Epinay sous sénart",48.694374,2.517298,Rue de Rocheau 91860 Épinay-sous-Sénart,0.6345861787365177,,street,91215_1380,,Rue de Rocheau,Rue de Rocheau,91860,Épinay-sous-Sénart,"91, Essonne, Île-de-France",91215,,,,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"2-4 rue Philisbourg, 91800 Brunoy",48.69795,2.506249,4 Rue Philisbourg 91800 Brunoy,0.903848064516129,,housenumber,91114_3000_00004,4,4 Rue Philisbourg,Rue Philisbourg,91800,Brunoy,"91, Essonne, Île-de-France",91114,,,,ok
"121 avenue de la République, 91230 Montgeron",48.700534,2.467104,121 Avenue de la République 91230 Montgeron,0.9752590909090909,,housenumber,91421_3450_00121,121,121 Avenue de la République,Avenue de la République,91230,Montgeron,"91, Essonne, Île-de-France",91421,,,,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"2-4 rue Philisbourg, 91800 Brunoy",48.69795,2.506249,4 Rue Philisbourg 91800 Brunoy,0.903848064516129,,housenumber,91114_3000_00004,4,4 Rue Philisbourg,Rue Philisbourg,91800,Brunoy,"91, Essonne, Île-de-France",91114,,,,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"2 rue Marc Sangnier, 91330 Yerres",48.714762,2.489653,2 Rue Marc Sangnier 91330 Yerres,0.9646563636363634,,housenumber,91691_2450_00002,2,2 Rue Marc Sangnier,Rue Marc Sangnier,91330,Yerres,"91, Essonne, Île-de-France",91691,,,,ok
"19 Rue Saint-Louis en l'Île, 75004 Paris",48.851202,2.358167,19 Rue Saint-Louis en l'Ile 75004 Paris,0.9713163636363636,0.5387579679144384,housenumber,75104_8678_00019,19,19 Rue Saint-Louis en l'Ile,Rue Saint-Louis en l'Ile,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"2-4 rue Philisbourg, 91800 Brunoy",48.69795,2.506249,4 Rue Philisbourg 91800 Brunoy,0.903848064516129,,housenumber,91114_3000_00004,4,4 Rue Philisbourg,Rue Philisbourg,91800,Brunoy,"91, Essonne, Île-de-France",91114,,,,ok
"17 rue des Carmes, 75005 Paris",48.848424,2.347335,17 Rue des Carmes 75005 Paris,0.9692099999999999,0.7221073796791443,housenumber,75105_1554_00017,17,17 Rue des Carmes,Rue des Carmes,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"195 rue du Temple, 75003 Paris",48.866005,2.360839,195 Rue du Temple 75003 Paris,0.9739390909090909,0.6679169696969697,housenumber,75103_9191_00195,195,195 Rue du Temple,Rue du Temple,75003,Paris,"75, Paris, Île-de-France",75103,,,Paris 3e Arrondissement,ok
"2 rue Marc Sangnier, 91330 Yerres",48.714762,2.489653,2 Rue Marc Sangnier 91330 Yerres,0.9646563636363634,,housenumber,91691_2450_00002,2,2 Rue Marc Sangnier,Rue Marc Sangnier,91330,Yerres,"91, Essonne, Île-de-France",91691,,,,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"Place de la Madeleine, 75008 Paris",48.870062,2.324455,Place de la Madeleine 75008 Paris,0.9685063636363637,0.7248128229665071,street,75108_5891,,Place de la Madeleine,Place de la Madeleine,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"23 place de la République, 75003 Paris",48.867797,2.362109,23 Place de la République 75003 Paris,0.9650618181818181,,housenumber,75103_8159_00023,23,23 Place de la République,Place de la République,75003,Paris,"75, Paris, Île-de-France",75103,,,Paris 3e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"8 Boulevard du Palais, 75001 Paris",48.854843,2.345141,8 Boulevard du Palais 75001 Paris,0.9562527272727273,0.4903073572938688,housenumber,75101_7006_00008,8,8 Boulevard du Palais,Boulevard du Palais,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"Place Saint Germain des Prés, 75006 Paris",48.854182,2.333399,Place Saint-Germain des Prés 75006 Paris,0.9616736363636363,0.5376821212121212,street,75106_8622,,Place Saint-Germain des Prés,Place Saint-Germain des Prés,75006,Paris,"75, Paris, Île-de-France",75106,,,Paris 6e Arrondissement,ok
"rue du Zénith, 54320 Maxeville",48.711787,6.142695,Rue du Zénith 54320 Maxéville,0.9490299999999999,,locality,54357_0380,,Rue du Zénith,,54320,Maxéville,"54, Meurthe-et-Moselle, Grand Est",54357,,,,ok
"Centre Thermal & Touristique, 57360 Amnéville",49.253985,6.140292,Rue Maurice Barrès 57360 Amnéville,0.4602867201426024,0.4420831168831168,street,57019_0354,,Rue Maurice Barrès,Rue Maurice Barrès,57360,Amnéville,"57, Moselle, Grand Est",57019,,,,ok
"1 allée du Zénith, 67201 Eckbolsheim",48.593755,7.6872,1 Allée du Zénith 67201 Eckbolsheim,0.9475854545454544,,housenumber,67118_0600_00001,1,1 Allée du Zénith,Allée du Zénith,67201,Eckbolsheim,"67, Bas-Rhin, Grand Est",67118,,,,ok
"Allée Colchide, 21000 Dijon",47.320282,5.00521,Allee de Calvi 21000 Dijon,0.6129347507331377,0.607728732782369,street,21231_1240,,Allee de Calvi,Allee de Calvi,21000,Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21231,,,,ok
"60 rue des lombards, 75001 Paris",48.859865,2.347731,60 Rue des Lombards 75001 Paris,0.9627390909090908,,housenumber,75101_5738_00060,60,60 Rue des Lombards,Rue des Lombards,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"30 boulevard Capdevila, 84000 Avignon",43.946875,4.821612,30 Boulevard Capdevilla 84000 Avignon,0.9506456565656564,,housenumber,84007_1020_00030,30,30 Boulevard Capdevilla,Boulevard Capdevilla,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
"Port de la Gare, 75013 Paris",48.834914,2.377237,Port de la Gare 75013 Paris,0.9707045454545453,0.5931357575757575,street,75113_3951,,Port de la Gare,Port de la Gare,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
"77 rue de charonne, 75011 Paris",48.853885,2.381496,77 Rue de Charonne 75011 Paris,0.9822236363636363,0.6526424009324009,housenumber,75111_1888_00077,77,77 Rue de Charonne,Rue de Charonne,75011,Paris,"75, Paris, Île-de-France",75111,,,Paris 11e Arrondissement,ok
"2 Port Montebello, 75005 Paris",48.851503,2.351091,2 Port de Montebello 75005 Paris,0.8747725513196479,,housenumber,75105_6471_00002,2,2 Port de Montebello,Port de Montebello,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"119 rue La Fayette, 75010 Paris",48.878354,2.352993,119 Rue la Fayette 75010 Paris,0.9786190909090908,,housenumber,75110_5240_00119,119,119 Rue la Fayette,Rue la Fayette,75010,Paris,"75, Paris, Île-de-France",75110,,,Paris 10e Arrondissement,ok
"6 rue Pierre au Lard, 75004 Paris",48.859764,2.353086,6 Rue Pierre au Lard 75004 Paris,0.9602645454545454,,housenumber,75104_7407_00006,6,6 Rue Pierre au Lard,Rue Pierre au Lard,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"12 rue Pasteur, 95350 Saint-brice sous forêt",48.999577,2.358993,12 Rue Pasteur 95350 Saint-Brice-sous-Forêt,0.955981818181818,,housenumber,95539_0376_00012,12,12 Rue Pasteur,Rue Pasteur,95350,Saint-Brice-sous-Forêt,"95, Val-d'Oise, Île-de-France",95539,,,,ok
"5 rue de la Huchette, 75005 Paris",48.852799,2.3463,5 Rue de la Huchette 75005 Paris,0.9703172727272728,,housenumber,75105_4678_00005,5,5 Rue de la Huchette,Rue de la Huchette,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"28 boulevard des Capucines, 75009 Paris",48.870152,2.328364,28 Boulevard des Capucines 75009 Paris,0.9669981818181818,,housenumber,75109_1524_00028,28,28 Boulevard des Capucines,Boulevard des Capucines,75009,Paris,"75, Paris, Île-de-France",75109,,,Paris 9e Arrondissement,ok
"60 rue des lombards, 75001 Paris",48.859865,2.347731,60 Rue des Lombards 75001 Paris,0.9627390909090908,,housenumber,75101_5738_00060,60,60 Rue des Lombards,Rue des Lombards,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"6 impasse Lamier, 75011 Paris",48.857788,2.388862,6 Impasse Lamier 75011 Paris,0.9697545454545453,0.8400342424242424,housenumber,75111_5304_00006,6,6 Impasse Lamier,Impasse Lamier,75011,Paris,"75, Paris, Île-de-France",75111,,,Paris 11e Arrondissement,ok
"30 boulevard Capdevila, 84000 Avignon",43.946875,4.821612,30 Boulevard Capdevilla 84000 Avignon,0.9506456565656564,,housenumber,84007_1020_00030,30,30 Boulevard Capdevilla,Boulevard Capdevilla,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
"24, rue de Pierre Nicole, 75005 Paris",48.840985,2.339557,24 Rue Pierre Nicole 75005 Paris,0.8908906417112299,,housenumber,75105_7467_00024,24,24 Rue Pierre Nicole,Rue Pierre Nicole,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"2 Port Montebello, 75005 Paris",48.851503,2.351091,2 Port de Montebello 75005 Paris,0.8747725513196479,,housenumber,75105_6471_00002,2,2 Port de Montebello,Port de Montebello,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"80, allée Darius Milhaud, 75019 Paris",48.885938,2.393208,80 Allée Darius Milhaud 75019 Paris,0.9797345454545453,0.8187911483253587,housenumber,75119_2560_00080,80,80 Allée Darius Milhaud,Allée Darius Milhaud,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
"11 bis rue du Coq Français, 93260 Les lilas",48.878457,2.414878,11bis Rue du Coq Francais 93260 Les Lilas,0.9016358441558441,,housenumber,93045_1470_00011_bis,11bis,11bis Rue du Coq Francais,Rue du Coq Francais,93260,Les Lilas,"93, Seine-Saint-Denis, Île-de-France",93045,,,,ok
"Rue de la Peupleraie, 91160 Longjumeau",48.694473,2.300342,Rue de la Peupleraie 91160 Longjumeau,0.9602572727272727,,street,91345_1256,,Rue de la Peupleraie,Rue de la Peupleraie,91160,Longjumeau,"91, Essonne, Île-de-France",91345,,,,ok
"17 rue des Carmes, 75005 Paris",48.848424,2.347335,17 Rue des Carmes 75005 Paris,0.9692099999999999,0.7221073796791443,housenumber,75105_1554_00017,17,17 Rue des Carmes,Rue des Carmes,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"47, Rue Ramey, 75018 Paris",48.889739,2.345913,47 Rue Ramey 75018 Paris,0.9789372727272727,0.7605034343434344,housenumber,75118_8014_00047,47,47 Rue Ramey,Rue Ramey,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
"60 rue des lombards, 75001 Paris",48.859865,2.347731,60 Rue des Lombards 75001 Paris,0.9627390909090908,,housenumber,75101_5738_00060,60,60 Rue des Lombards,Rue des Lombards,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
"60 rue des lombards, 75001 Paris",48.859865,2.347731,60 Rue des Lombards 75001 Paris,0.9627390909090908,,housenumber,75101_5738_00060,60,60 Rue des Lombards,Rue des Lombards,75001,Paris,"75, Paris, Île-de-France",75101,,,Paris 1er Arrondissement,ok
